MSA_ID,Metro Area,OCC_CODE,Job Group,Total Employment
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-1011,Chief Executives,6430
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-1021,General and Operations Managers,162730
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-1031,Legislators,2930
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-2011,Advertising and Promotions Managers,7830
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-2021,Marketing Managers,28240
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-2022,Sales Managers,32090
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-2030,Public Relations and Fundraising Managers,7240
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-3010,Administrative Services and Facilities Managers,25070
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-3021,Computer and Information Systems Managers,35550
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-3031,Financial Managers,56290
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-3051,Industrial Production Managers,6510
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-3061,Purchasing Managers,4580
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-3071,"Transportation, Storage, and Distribution Managers",7310
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-3111,Compensation and Benefits Managers,1650
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-3121,Human Resources Managers,12020
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-3131,Training and Development Managers,3230
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",80
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9021,Construction Managers,13990
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9031,"Education and Childcare Administrators, Preschool and Daycare",3610
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9032,"Education Administrators, Kindergarten through Secondary",22290
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9033,"Education Administrators, Postsecondary",
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9039,"Education Administrators, All Other",2210
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9041,Architectural and Engineering Managers,6970
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9051,Food Service Managers,9920
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9081,Lodging Managers,810
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9111,Medical and Health Services Managers,28490
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9121,Natural Sciences Managers,5150
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9131,Postmasters and Mail Superintendents,620
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9141,"Property, Real Estate, and Community Association Managers",11160
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9151,Social and Community Service Managers,11700
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9161,Emergency Management Directors,580
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9171,Funeral Home Managers,610
35620,"New York-Newark-Jersey City, NY-NJ-PA",11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",23320
